"Puerto Rico, Dorado, 949"
"Virgin Islands, Saint Thomas, 802"
"Massachusetts, Agawam, 1001"
"Massachusetts, Pelham, 1002"
"Massachusetts, Amherst, 1002"
"Massachusetts, Granby, 1033"
"Massachusetts, Whately, 1093"
"Massachusetts, Sunderland, 1375"
"Massachusetts, Chicopee, 1020"
"Massachusetts, Belchertown, 1007"
"Massachusetts, Chicopee, 1013"
"Massachusetts, South Hadley, 1075"
"Massachusetts, Ludlow, 1056"
"Massachusetts, Orange, 1364"
"Massachusetts, Holyoke, 1040"
"Massachusetts, Easthampton, 1027"
"Massachusetts, Northampton, 1062"
"Massachusetts, Northampton, 1060"
"Massachusetts, Barre, 1005"
"Massachusetts, Leverett, 1054"
"Massachusetts, Southampton, 1073"
"Massachusetts, Greenfield, 1301"
"Massachusetts, Deerfield, 1373"
"Massachusetts, West Springfield, 1089"
"Massachusetts, Hadley, 1035"
"Massachusetts, Williamsburg, 1038"
"Massachusetts, Springfield, 1104"
"Massachusetts, Williamsburg, 1096"
"Massachusetts, Montague, 1351"
"Massachusetts, Athol, 1331"
"Massachusetts, Blandford, 1008"
"Connecticut, Coventry, 6238"
"Connecticut, East Windsor, 6016"
"Connecticut, Vernon, 6066"
"Massachusetts, Ware, 1082"
"Connecticut, Ellington, 6029"
"Massachusetts, Longmeadow, 1028"
"Massachusetts, Springfield, 1105"
"Connecticut, Stafford, 6076"
"Massachusetts, Springfield, 1118"
"Massachusetts, Springfield, 1108"
"Connecticut, Manchester, 6040"
"Connecticut, Enfield, 6082"
"Massachusetts, Springfield, 1129"
"Massachusetts, Palmer, 1069"
"Massachusetts, Springfield, 1151"
"Massachusetts, Brimfield, 1010"
"Massachusetts, Chester, 1011"
"Massachusetts, Cummington, 1026"
"Massachusetts, Granville, 1034"
"Massachusetts, Becket, 1223"
"Massachusetts, Westfield, 1085"
"Massachusetts, Agawam, 1030"
"Massachusetts, Savoy, 1256"
"Massachusetts, Southwick, 1077"
"Massachusetts, East Longmeadow, 1028"
"Massachusetts, Hardwick, 1031"
"Massachusetts, Adams, 1220"
"Massachusetts, Buckland, 1339"
"Massachusetts, Worthington, 1098"
"Massachusetts, Pittsfield, 1201"
"Massachusetts, Cheshire, 1225"
"Massachusetts, Huntington, 1050"
"Massachusetts, Otis, 1253"
"Connecticut, Winchester, 6098"
"Connecticut, Barkhamsted, 6063"
"Massachusetts, Great Barrington, 1230"
"Connecticut, North Canaan, 6018"
"Connecticut, Suffield, 6078"
"Massachusetts, Sheffield, 1257"
"Massachusetts, Monterey, 1230"
"Connecticut, Windsor Locks, 6096"
"Connecticut, Norfolk, 6058"
"Connecticut, Colebrook, 6021"
"Connecticut, Granby, 6060"
"Massachusetts, Sheffield, 1222"
"Massachusetts, Longmeadow, 1106"
"Connecticut, Granby, 6035"
"Massachusetts, Sandisfield, 1255"
"Connecticut, Canton, 6019"
